hotspot_id,latitude,longitude,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,night_ratio,high_confidence_ratio,last_seen_date,days_since_last_seen,hits_7d,active_days_7d,hits_10d,active_days_10d,hits_15d,active_days_15d,hits_30d,active_days_30d,persistence_30d,distance_to_nearest_road_m,road_length_1km_m,building_count_1km,distance_to_nearest_building_m,building_count_500m,building_count_2500m,building_count_5000m,road_length_500m_m,road_length_2500m_m,road_length_5000m_m,industrial_area_count_500m,industrial_area_count_5000m,nearest_fire_station_id,nearest_fire_station_name,nearest_fire_station_latitude,nearest_fire_station_longitude,distance_to_nearest_fire_station_m,fire_station_data_available
883c843045fffff,21.875155,83.494465,2.415,3.35,307.625,309.25,288.135,289.52,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,65.0861147767923,8130.59781714734,1.0,305.526162078893,1.0,2.0,4.0,3830.5521156839,44667.2898578587,128408.321840626,2.0,2.0,,,,,,False
883c843047fffff,21.8766,83.49715,1.27,1.27,302.68,302.68,288.81,288.81,1.0,0.0,2026-07-26,36,0,0,0,0,0,0,0,0,0.0,101.486312777295,7463.31378214218,1.0,624.916465701119,0.0,1.0,4.0,2934.08512549517,38595.5430613089,131470.178339887,2.0,3.0,,,,,,False
883c8430c1fffff,21.88009,83.55791,2.23,2.23,300.92,300.92,285.5,285.5,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,146.224619719041,13294.0174280207,0.0,,0.0,0.0,0.0,1927.16169281812,47881.0360007507,105958.722558106,1.0,2.0,,,,,,False
883c8430c5fffff,21.878605,83.5557,2.3,2.31,306.245,308.29,289.315,289.54,1.0,0.0,2026-07-26,36,0,0,0,0,0,0,0,0,0.0,45.3184611907165,13089.3031656656,0.0,,0.0,0.0,0.0,3248.41890802375,49223.3041438502,105974.441421253,2.0,2.0,,,,,,False
883c8430cdfffff,21.88115,83.5528,2.78,2.78,300.8,300.8,285.36,285.36,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,85.713621938685,12699.9776535799,0.0,,0.0,0.0,0.0,2822.60717413377,47639.3722455338,107294.42742717,2.0,2.0,,,,,,False
883c848531fffff,22.10646,83.12575,1.99,1.99,305.99,305.99,283.47,283.47,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,94.0301601567049,1988.41572939593,0.0,1970.70511246569,0.0,1.0,17.0,981.168372782966,7684.16901736532,20086.0337764182,0.0,0.0,,,,,,False
883c848ec1fffff,22.08837,83.11952,1.96,1.96,312.44,312.44,286.71,286.71,1.0,0.0,2026-08-12,19,0,0,0,0,0,0,1,1,0.0333333333333333,743.621595701949,1301.30697667274,0.0,2202.20667336452,0.0,16.0,18.0,0.0,7303.9348969498,21204.5184190505,0.0,0.0,,,,,,False
883c848ec9fffff,22.08969,83.11682,0.55,0.55,302.24,302.24,283.09,283.09,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,1052.75749313256,0.0,0.0,1900.41536154462,0.0,16.0,18.0,0.0,6242.91308037334,19202.5442508462,0.0,0.0,,,,,,False
883c84a901fffff,21.9191566666667,83.35282,2.23333333333333,3.41,323.386666666667,343.28,280.206666666667,290.57,0.333333333333333,0.0,2026-08-26,5,1,1,1,1,1,1,2,2,0.0666666666666667,247.378890647053,21317.371912359,0.0,1088.28096030186,0.0,22.0,56.0,3255.17216351738,111513.592580971,348551.825997135,1.0,4.0,,,,,,False
883c84a909fffff,21.92237125,83.3507475,3.75,7.93,320.15875,346.59,283.21,298.87,0.75,0.0,2026-08-22,9,0,0,1,1,1,1,5,3,0.1,173.296361924843,24086.5851871293,7.0,720.791778737427,0.0,22.0,48.0,4236.59100947136,116357.550300262,325501.41293598,1.0,4.0,,,,,,False
